9025,6454,0
9025,6454,1
9025,6454,1
9025,6454,1
9025,6454,1
9025,6454,1
9025,6454,1
9025,6454,1
9020,6460,1
9014,6460,1
9004,6462,1
8989,6459,1
8971,6456,1
8950,6451,1
8926,6447,1
8903,6440,1
8882,6430,1
8863,6419,1
8846,6405,1
8835,6390,1
8829,6373,1
8824,6355,1
8831,6336,1
8837,6318,1
8850,6301,1
8865,6287,1
8882,6274,1
8901,6264,1
8920,6258,1
8937,6254,1
8953,6250,1
8967,6253,1
8980,6257,1
8990,6260,1
8997,6262,1
9002,6264,1
9002,6264,1
9002,6264,1
9002,6264,1
8995,6270,1
8980,6268,1
8957,6262,1
8931,6258,1
8901,6249,1
8869,6238,1
8839,6224,1
8810,6208,1
8785,6189,1
8766,6169,1
8752,6146,1
8746,6119,1
8750,6091,1
8757,6062,1
8771,6032,1
8789,6005,1
8812,5980,1
8837,5958,1
8866,5939,1
8898,5922,1
8930,5909,1
8963,5899,1
8993,5891,1
9021,5886,1
9046,5879,1
9066,5879,1
9081,5880,1
9092,5879,1
9099,5878,1
9105,5878,1
9109,5878,1
9109,5878,1
9109,5878,1
9109,5878,1
9109,5878,1
9109,5878,0
